epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,7671.77,0.60224,0.81641,0.48293,0.87769,0.96316,0.98913,0.986,0.89366,0.96316,0.98913,0.986,0.87007,0.53609,0.7825,0.36629,0.86102,0.001684,0.001684,0.001684
86,7771.84,0.5821,0.79995,0.45247,0.87158,0.96771,0.98784,0.98974,0.89933,0.96771,0.98784,0.98974,0.87328,0.53133,0.77859,0.35835,0.86111,0.001585,0.001585,0.001585
87,7863.38,0.58183,0.78831,0.43191,0.87288,0.97011,0.98638,0.98995,0.90251,0.97011,0.98638,0.98995,0.87292,0.52285,0.7724,0.35417,0.85848,0.001486,0.001486,0.001486
88,7961.54,0.5973,0.79181,0.45717,0.88441,0.96833,0.98983,0.99011,0.89816,0.96833,0.98983,0.99011,0.87312,0.5261,0.76779,0.3535,0.85897,0.001387,0.001387,0.001387
89,8051.2,0.57296,0.77464,0.43013,0.87631,0.97071,0.98983,0.99035,0.89631,0.97071,0.98983,0.99035,0.87139,0.52963,0.76969,0.35527,0.85961,0.001288,0.001288,0.001288
90,8138.55,0.58399,0.8338,0.44452,0.87186,0.96783,0.98841,0.98898,0.90069,0.96783,0.98841,0.98898,0.87197,0.52074,0.76552,0.35198,0.85796,0.001189,0.001189,0.001189
91,8226.05,0.57321,0.80924,0.40898,0.87465,0.96738,0.98861,0.98854,0.8982,0.96738,0.98861,0.98854,0.86792,0.51942,0.76713,0.35615,0.8575,0.00109,0.00109,0.00109
92,8311.81,0.56167,0.78113,0.39859,0.88177,0.96986,0.98904,0.98771,0.89801,0.96986,0.98904,0.98771,0.86953,0.51539,0.77156,0.35218,0.85685,0.000991,0.000991,0.000991
93,8397.38,0.55166,0.78429,0.37794,0.86297,0.96984,0.98674,0.98734,0.89962,0.96984,0.98674,0.98734,0.86753,0.52331,0.78809,0.34758,0.85799,0.000892,0.000892,0.000892
94,8484.82,0.56644,0.79181,0.38799,0.87508,0.96805,0.98982,0.98727,0.90372,0.96805,0.98982,0.98727,0.87128,0.51323,0.77767,0.34322,0.85566,0.000793,0.000793,0.000793
95,8570.01,0.56133,0.79419,0.37688,0.87236,0.96805,0.99,0.9872,0.90588,0.96805,0.99,0.9872,0.87114,0.5094,0.76704,0.33768,0.85449,0.000694,0.000694,0.000694
96,8655.21,0.55203,0.79611,0.38183,0.87084,0.97205,0.98648,0.98734,0.90877,0.97205,0.98648,0.98734,0.87212,0.50982,0.76779,0.3384,0.85481,0.000595,0.000595,0.000595
97,8740.29,0.54916,0.75918,0.38392,0.87247,0.96668,0.99004,0.98753,0.90452,0.96668,0.99004,0.98753,0.87467,0.51528,0.76106,0.34003,0.85674,0.000496,0.000496,0.000496
98,8823.45,0.55608,0.77737,0.36844,0.86828,0.96731,0.98988,0.98766,0.90548,0.96731,0.98988,0.98766,0.87344,0.51789,0.76611,0.3382,0.85682,0.000397,0.000397,0.000397
99,8901.71,0.53534,0.78101,0.36933,0.85606,0.96997,0.98722,0.98788,0.90526,0.96997,0.98722,0.98788,0.87355,0.51169,0.76561,0.33559,0.85479,0.000298,0.000298,0.000298
100,8980.47,0.54205,0.74516,0.36522,0.86485,0.96984,0.98701,0.98786,0.90217,0.96984,0.98701,0.98786,0.87395,0.5092,0.75967,0.33347,0.85374,0.000199,0.000199,0.000199
