epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,10737.1,0.60503,0.80513,0.48379,0.88253,0.9705,0.9834,0.99072,0.89093,0.9705,0.9834,0.99072,0.8747,0.51278,0.67168,0.40204,0.88831,0.002674,0.002674,0.002674
76,10869.5,0.61623,0.81775,0.48539,0.88898,0.97691,0.97376,0.98978,0.88742,0.97691,0.97376,0.98978,0.87584,0.51358,0.66719,0.39139,0.89183,0.002575,0.002575,0.002575
77,10999.8,0.59648,0.79693,0.50353,0.88968,0.97429,0.9802,0.9887,0.8872,0.97429,0.9802,0.9887,0.87782,0.50085,0.66624,0.37369,0.88774,0.002476,0.002476,0.002476
78,11129.7,0.60309,0.77558,0.49506,0.8922,0.97254,0.98532,0.98888,0.89349,0.97254,0.98532,0.98888,0.87419,0.49796,0.66175,0.37321,0.88774,0.002377,0.002377,0.002377
79,11260.8,0.58389,0.7834,0.4607,0.87863,0.96874,0.98855,0.99026,0.89619,0.96874,0.98855,0.99026,0.88393,0.49759,0.64935,0.37926,0.88115,0.002278,0.002278,0.002278
80,11390.6,0.59706,0.78101,0.45927,0.88814,0.97298,0.98781,0.99071,0.89518,0.97298,0.98781,0.99071,0.87878,0.48944,0.65434,0.36141,0.87626,0.002179,0.002179,0.002179
81,11520.7,0.57595,0.7995,0.47613,0.88321,0.97057,0.98704,0.9889,0.89356,0.97057,0.98704,0.9889,0.88141,0.48735,0.64616,0.36572,0.87558,0.00208,0.00208,0.00208
82,11650.7,0.59322,0.80458,0.46014,0.87544,0.96123,0.98978,0.98459,0.89108,0.96123,0.98978,0.98459,0.87263,0.48802,0.66105,0.38499,0.8737,0.001981,0.001981,0.001981
83,11783.9,0.59358,0.79415,0.46626,0.88152,0.96943,0.98379,0.9857,0.89495,0.96943,0.98379,0.9857,0.87232,0.47502,0.64866,0.39747,0.86756,0.001882,0.001882,0.001882
84,11916.4,0.5715,0.79364,0.44945,0.88338,0.97107,0.98551,0.99032,0.90164,0.97107,0.98551,0.99032,0.88042,0.46807,0.64482,0.35879,0.86568,0.001783,0.001783,0.001783
